Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger
BCRX	"[""BCRX""]"	nGNX7QzVb8	2026-05-05 07:00:00	BioCryst Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4)	Globe Newswire	226.41	0.1186	0.0198	0.8617	0.0988	positive	0.00046490004649000463	NO:sentiment_score
TRAK	"[""TRAK""]"	nBw9380Xxa	2026-05-05 07:00:00	World Food Products Expands Use of ReposiTrak to Strengthen End-to-End Supply Chain Compliance	Business Wire	12.14	0.7753	0.0081	0.2166	0.7672	positive		NO:Trades/sec
MCRB	"[""MCRB""]"	nGNXbl0f48	2026-05-05 07:00:00	Seres Therapeutics Reports First Quarter 2026 Financial Results and Provides Business Updates	Globe Newswire	7.24	0.087	0.0281	0.8849	0.059	positive	0.001880288310874334	NO:sentiment_score
TLRY	"[""TLRY""]"	nGNE2rQc6Q	2026-05-05 07:00:00	BrewDog Announces Partnership with Underbelly as Official Beer Supplier of Underbelly at the Edinburgh Fringe	Globe Newswire	118.71	0.5118	0.0167	0.4715	0.4951	positive		NO:Trades/sec
DOMO	"[""DOMO""]"	nBw2XJBJXa	2026-05-05 07:00:00	Domo Appoints Ben Schein as Chief AI and Analytics Officer	Business Wire	37.68	0.0486	0.0465	0.9049	0.002	neutral	0.0054446460980036296	NO:sentiment_score
NRXP	"[""NRXP""]"	nGNXbZCnjT	2026-05-05 07:00:01	NRx Pharmaceuticals (Nasdaq:NRXP) Announces Initiation of Commercial Manufacturing for Preservative Free Ketamine	Globe Newswire	29.22	0.3972	0.0109	0.5919	0.3863	positive		NO:Trades/sec
EPRX	"[""EPRX""]"	nGNXGKQ77	2026-05-05 07:00:01	Eupraxia Pharmaceuticals Reports EREFS Data from its Ongoing Phase 1b/2a RESOLVE Trial in Eosinophilic Esophagitis at Digestive Disease Week (DDW)	Globe Newswire	49.53	0.2351	0.0467	0.7182	0.1884	positive		NO:sentiment_score,Trades/sec
ALDX	"[""ALDX""]"	nACS1gLRqa	2026-05-05 07:00:01	ALDX INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Aldeyra Therapeutics, Inc. Stockholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	55.6	0.2046	0.1963	0.599	0.0083	neutral	0.0018641810918774966	NO:sentiment_score
SHLS	"[""SHLS""]"	nGNXccCfW3	2026-05-05 07:00:01	Shoals Technologies Group, Inc. Reports Financial Results for First Quarter 2026	Globe Newswire	166.53	0.098	0.0865	0.8155	0.0114	neutral		NO:sentiment_score,Trades/sec
CLYM	"[""CLYM""]"	nGNXbHWqqT	2026-05-05 07:00:01	Climb Bio Hosts Budoprutug R&D Spotlight Event Highlighting Topline Subcutaneous Formulation Data, Broad B-Cell Mediated Disease Opportunity, and Upcoming Data Readouts	Globe Newswire	39.49	0.2473	0.0328	0.7199	0.2146	positive		NO:Trades/sec
CHOW	"[""CHOW""]"	nACSYF8NCa	2026-05-05 07:00:01	CHOW SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that ChowChow Cloud International Holdings Ltd. Stockholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	10.64	0.1544	0.1632	0.6824	-0.0088	neutral		NO:sentiment_score,Trades/sec
CNSP	"[""CNSP""]"	nPnbr62cFa	2026-05-05 07:00:01	Corero Network Security Celebrates Michelle Ragusa-McBain Named to 2026 CRN Women of the Channel Power 100	PR Newswire	0.7158	0.2284	0.0528	0.7188	0.1756	positive		NO:sentiment_score,Trades/sec
AOMR	"[""AOMR""]"	nBw3T5nPqa	2026-05-05 07:00:01	Angel Oak Mortgage REIT, Inc. Reports First Quarter 2026 Financial Results	Business Wire	18.69	0.0868	0.1205	0.7927	-0.0337	neutral		NO:sentiment_score,Trades/sec
GOSS	"[""GOSS""]"	nACS4pNzda	2026-05-05 07:00:01	GOSS INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Gossamer Bio, Inc. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	204.1	0.1592	0.1898	0.651	-0.0306	neutral	0.0016691394658753709	NO:sentiment_score
SLQT	"[""SLQT""]"	nBw15yfFKa	2026-05-05 07:00:01	SelectQuote, Inc. Reports Third Quarter of Fiscal Year 2026 Results	Business Wire	137.22	0.0305	0.0429	0.9266	-0.0124	neutral		NO:sentiment_score,Trades/sec
HQ	"[""HQ""]"	nBw12Mdlca	2026-05-05 07:00:02	Horizon Quantum Announces First Quarter 2026 Financial Results	Business Wire	21.51	0.0994	0.0791	0.8216	0.0203	neutral		NO:sentiment_score,Trades/sec
LVWR	"[""LVWR""]"	nBw5Xx6Jma	2026-05-05 07:00:02	LiveWire Group, Inc. Reports 2026 First Quarter Financial Results	Business Wire	9.55	0.1089	0.1581	0.7329	-0.0492	neutral		NO:sentiment_score,Trades/sec
INMB	"[""INMB""]"	nBw7hSW6ta	2026-05-05 07:00:02	Biotech Leaders Launch National Alliance to Define the Future of American Innovation	Business Wire	22.06	0.2285	0.0219	0.7496	0.2066	positive		NO:Trades/sec
YOOV	"[""YOOV""]"	nACSP11T9a	2026-05-05 07:00:02	CIGL SHAREHOLDER ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Concorde International Group, Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	5.91	0.1639	0.2568	0.5792	-0.0929	negative		NO:sentiment_score,Trades/sec
RLMD	"[""RLMD""]"	nGNX2wShCX	2026-05-05 07:00:02	Relmada Therapeutics to Present NDV-01 Abstracts at AUA2026	Globe Newswire	92.04	0.1216	0.0308	0.8476	0.0907	positive		NO:sentiment_score,Trades/sec
NUAI	"[""NUAI""]"	nACSldVtBa	2026-05-05 07:00:02	NUAI SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that New Era Energy & Digital, Inc. (f/k/a New Era Helium Inc.) Stockholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	73.85	0.1328	0.3295	0.5377	-0.1967	negative		NO:sentiment_score,Trades/sec
AVIR	"[""AVIR""]"	nGNX5tDsXx	2026-05-05 07:00:02	Atea Pharmaceuticals to Host First Quarter 2026 Financial Results and Business Update Conference Call on May 12, 2026	Globe Newswire	63.04	0.0794	0.0346	0.886	0.0449	neutral		NO:sentiment_score,Trades/sec
ARVN	"[""ARVN""]"	nGNX6fScYc	2026-05-05 07:00:02	Arvinas to Report First Quarter 2026 Financial Results on May 12, 2026	Globe Newswire	53.38	0.0852	0.0549	0.8598	0.0303	neutral		NO:sentiment_score,Trades/sec
NRXS	"[""NRXS""]"	nGNX1hvFnP	2026-05-05 07:00:04	NeurAxis to Host First Quarter 2026 Results and Business Update Call on Tuesday, May 12, 2026	Globe Newswire	8.25	0.0598	0.0261	0.9141	0.0338	neutral		NO:sentiment_score,Trades/sec
EDIT	"[""EDIT""]"	nGNXbH2HTS	2026-05-05 07:00:04	Editas Medicine Announces First Quarter 2026 Results and Business Updates	Globe Newswire	97.37	0.0585	0.0427	0.8988	0.0157	neutral		NO:sentiment_score,Trades/sec
EVGO	"[""EVGO""]"	nGNX9Bs2Jf	2026-05-05 07:00:04	EVgo Inc. Reports First Quarter 2026 Results with Record First Quarter Revenues	Globe Newswire	132.81	0.9065	0.0304	0.0631	0.8761	positive		NO:Trades/sec
POET	"[""POET""]"	nACSlzw5da	2026-05-05 07:00:04	POET SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that POET Technologies Inc. Investors with Substantial Losses Have Opportunity to Lead Class Action Lawsuit! 	ACCESSWIRE	90.52	0.1872	0.2345	0.5783	-0.0472	neutral		NO:sentiment_score,Trades/sec
ATRA	"[""ATRA""]"	nACS4GDQJa	2026-05-05 07:00:04	 ATRA SHAREHOLDER ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Atara Biotherapeutics, Inc. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	4.86	0.1743	0.1356	0.6901	0.0387	neutral		NO:sentiment_score,Trades/sec
FCHL	"[""FCHL""]"	nACST44m3a	2026-05-05 07:00:07	FCHL SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Stockholders with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	0.1282	0.2932	0.5786	-0.1651	negative		NO:sentiment_score,Trades/sec
SES	"[""SES""]"	nACSn7Kt8a	2026-05-05 07:00:08	SES INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that SES AI Corporation Investors with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	236.25	0.1533	0.3769	0.4698	-0.2237	negative		NO:sentiment_score,Trades/sec
GEMI	"[""GEMI""]"	nACSPJbxga	2026-05-05 07:00:09	GEMI SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Gemini Space Station, Inc. Investors Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	38.2	0.1716	0.1572	0.6712	0.0144	neutral		NO:sentiment_score,Trades/sec
GO	"[""GO""]"	nACSFHFP7a	2026-05-05 07:00:09	GO INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Grocery Outlet Holding Corp. Shareholders Have Opportunity to Lead Class Action Lawsuit!  	ACCESSWIRE	90.72	0.1623	0.1649	0.6727	-0.0026	neutral		NO:sentiment_score,Trades/sec
IVVD	"[""IVVD""]"	nGNX70PxtF	2026-05-05 07:01:00	Invivyd Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4)	Globe Newswire	224.71	0.1269	0.0199	0.8532	0.1069	positive		NO:sentiment_score,Trades/sec
DTIL	"[""DTIL""]"	nBw9MwDpva	2026-05-05 07:01:00	Precision BioSciences Reports First Quarter 2026 Financial Results and Provides Business Update	Business Wire	23.02	0.0661	0.0311	0.9028	0.035	neutral		NO:sentiment_score,Trades/sec
PLUR	"[""PLUR""]"	nNFC8ddXpz	2026-05-05 07:03:10	Plurilock Announces New Critical Services Contracts Totaling CAD$1.31 Million	Newsfile Corp	6.51	0.7856	0.022	0.1924	0.7636	positive		NO:Trades/sec
AIRO	"[""AIRO""]"	nBw5XK091a	2026-05-05 07:07:00	AIRO Announces First Quarter 2026 Earnings Call Details	Business Wire	20.02	0.1049	0.0755	0.8196	0.0293	neutral		NO:sentiment_score,Trades/sec
SOWG	"[""SOWG""]"	nGNX2lCcbq	2026-05-05 07:15:00	Sow Good Secures $20 Million Non-Convertible Private Placement Credit Facility to Fund Critical Minerals Strategy	Globe Newswire	0.75	0.793	0.0137	0.1933	0.7793	positive	0.0022558087074216106	YES
EXOD	"[""EXOD""]"	nGNX3YSghs	2026-05-05 07:25:00	Exodus Movement, Inc. to Announce First Quarter 2026 Results on May 12, 2026	Globe Newswire	4.06	0.0616	0.0392	0.8992	0.0224	neutral	0.000352951557398747	NO:sentiment_score
ARAI	"[""ARAI""]"	nACSqcV4Ra	2026-05-05 07:27:01	Arrive AI to Report Q1 2026 Results and Host Webcast on May 15	ACCESSWIRE	8.3	0.0892	0.0171	0.8937	0.0721	positive	0.015082956259426848	NO:sentiment_score
GDC	"[""GDC""]"	nGNX7hgQBd	2026-05-05 07:30:00	GD Culture Group Limited Announces Receipt of Preliminary Non-Binding Going Private Proposal at US$10.75 Per Share	Globe Newswire	54.48	0.1719	0.0203	0.8078	0.1516	positive	0.0006680026720106881	NO:sentiment_score
NVCT	"[""NVCT""]"	nGNX5yQ8xV	2026-05-05 07:30:00	Nuvectis Pharma, Inc. Reports First Quarter 2026 Financial Results and Business Highlights	Globe Newswire	15.16	0.0776	0.0606	0.8618	0.017	neutral		NO:sentiment_score,Trades/sec
CMPX	"[""CMPX""]"	nGNX72Zdz0	2026-05-05 07:30:00	Compass Therapeutics Reports 2026 First Quarter Financial Results and Provides Corporate Update 	Globe Newswire	120.66	0.0915	0.0403	0.8682	0.0511	positive	9.0	NO:sentiment_score
SHO	"[""SHO""]"	nPn2nNqGJa	2026-05-05 07:30:01	SUNSTONE HOTEL INVESTORS REPORTS RESULTS FOR FIRST QUARTER 2026	PR Newswire	186.3	0.087	0.0636	0.8494	0.0234	neutral		NO:sentiment_score,Trades/sec
BLDP	"[""BLDP""]"	nPn9xVWk9a	2026-05-05 07:30:01	Ballard Reports Q1 2026 Results	PR Newswire	296.84	0.089	0.0712	0.8398	0.0178	neutral	0.03626220362622036	NO:sentiment_score
RUM	"[""RUM""]"	nGNE1J4BFB	2026-05-05 07:30:00	Rumble Announces Receipt of all Regulatory Approvals for Business Combination with Northern Data	Globe Newswire	108.23	0.3051	0.0201	0.6747	0.285	positive		NO:Trades/sec
KURA	"[""KURA""]"	nGNX9fknv7	2026-05-05 07:30:00	Kura Oncology to Report First Quarter 2026 Financial Results	Globe Newswire	86.06	0.1739	0.1299	0.6962	0.044	neutral		NO:sentiment_score,Trades/sec
CVV	"[""CVV""]"	nNFC5zsXnq	2026-05-05 07:30:30	CanAlaska Announces Results from Winter Drill Program on West McArthur Project	Newsfile Corp	5.35	0.3559	0.1121	0.532	0.2438	positive	0.0015013762615731087	YES
NXTS	"[""NXTS""]"	nGNXbDdGnZ	2026-05-05 07:32:00	Nexentis Technologies Announces U.S. Trademark Registration Approval for MitoCareX’s Algorithm Platform MITOLINE™	Globe Newswire	0.39	0.258	0.0538	0.6883	0.2042	positive		NO:Trades/sec
ENVX	"[""ENVX""]"	nGNXvkbrS	2026-05-05 07:45:00	Enovix Corporation Appoints Steve Bakos as Senior Vice President of Worldwide Sales to Support Commercial Scale-up and Revenue Growth	Globe Newswire	188.17	0.1434	0.0129	0.8437	0.1305	positive	0.013507809202195019	NO:sentiment_score
CHAI	"[""CHAI""]"	nGNX9hppp5	2026-05-05 07:45:00	Core AI Appoints Sonali Garg, Former Meta Data Center Leader and COO of Allianca Group, to Advisory Board	Globe Newswire	18.3	0.0651	0.0273	0.9077	0.0378	neutral		NO:sentiment_score,Trades/sec
STIM	"[""STIM""]"	nGNX84bJRT	2026-05-05 07:50:00	Neuronetics Reports First Quarter 2026 Financial and Operating Results	Globe Newswire	24.66	0.1846	0.065	0.7505	0.1196	positive	0.01620745542949757	YES
NEXR	"[""NEXR""]"	nGNE3cwvgs	2026-05-05 07:55:00	Nexera: KeepZone AI Launches VocentraAI – AI-Powered Real-Time Decision Support Platform for Voice Communications	Globe Newswire	0.45	0.2579	0.0134	0.7287	0.2446	positive	0.00968054211035818	YES
ENVB	"[""ENVB""]"	nBw1N2fSqa	2026-05-05 08:00:00	Enveric Biosciences Highlights Positive Results for EB-003 in PTSD Preclinical Model	Business Wire	1.62	0.9354	0.0266	0.038	0.9087	positive	0.008946726311508743	YES
ROC	"[""ROC""]"	nGNE11vyC1	2026-05-05 08:00:00	ROC Appoints Biometrics Leader Gary Lac as EVP of Sales and Marketing to Accelerate Commercialization of ROC ABIS	Globe Newswire	5.45	0.3077	0.0094	0.6829	0.2983	positive	0.0009078529278256923	YES
TONX	"[""TONX""]"	nGNX1BzdXF	2026-05-05 08:00:00	TON Strategy Company Highlights TON Network Performance Upgrade, Lower Transaction Fees and April Staking Uplift	Globe Newswire	40.74	0.9007	0.0216	0.0777	0.8791	positive	0.04299583911234397	YES
CTW	"[""CTW""]"	nGNX8n1GVN	2026-05-05 08:00:00	CTW to Announce First Half of Fiscal 2026 Financial Results on May 13, 2026 	Globe Newswire	2.38	0.0696	0.0428	0.8876	0.0268	neutral		NO:sentiment_score,Trades/sec
ALLR	"[""ALLR""]"	nGNX1rc5Qb	2026-05-05 08:00:00	Allarity Therapeutics Advances Stenoparib Toward Pivotal Development with Phase 3 Manufacturing Campaign	Globe Newswire	14.97	0.7839	0.0107	0.2054	0.7732	positive	0.0008384338056510439	YES
UMAC	"[""UMAC""]"	nACS4JLySa	2026-05-05 08:00:00	Unusual Machines Initiates $75M in Strategic Materials Purchases to Support Program-Driven Demand	ACCESSWIRE	34.16	0.6662	0.0131	0.3207	0.653	positive		NO:Trades/sec
ZENA	"[""ZENA""]"	nGNEbjHRVh	2026-05-05 08:00:00	ZenaTech CEO Issues Letter to Shareholders as Total Revenue Grew 558% Year-Over-Year for Full Year 2025	Globe Newswire	18.44	0.8631	0.0141	0.1228	0.849	positive		NO:Trades/sec
VRCA	"[""VRCA""]"	nGNX3nMDsV	2026-05-05 08:00:00	Verrica Pharmaceuticals to Report First Quarter 2026 Financial Results and Provide a Corporate Update on May 12, 2026	Globe Newswire	8.3	0.0753	0.03	0.8947	0.0453	neutral		NO:sentiment_score,Trades/sec
UAVS	"[""UAVS""]"	nGNX6cFyrK	2026-05-05 08:00:00	EagleNXT Receives Additional Order for eBee VISION ISR Systems from U.S. Army’s 7th Army Training Command	Globe Newswire	54.34	0.8147	0.0115	0.1739	0.8032	positive		NO:Trades/sec
ZNTL	"[""ZNTL""]"	nGNX9WpXQN	2026-05-05 08:00:00	Zentalis Pharmaceuticals Announces First Patient Dosed in ASPENOVA Phase 3 Trial of Azenosertib in Patients with Cyclin E1-Positive Platinum-Resistant Ovarian Cancer	Globe Newswire	48.26	0.7161	0.0201	0.2638	0.6959	positive		NO:Trades/sec
NERV	"[""NERV""]"	nGNE5wJzHq	2026-05-05 08:00:01	Minerva Neurosciences Provides First Quarter 2026 Financial Results and Business Updates	Globe Newswire	35.74	0.0521	0.033	0.9149	0.0192	neutral		NO:sentiment_score,Trades/sec
MNTS	"[""MNTS""]"	nBwc5MPZya	2026-05-05 08:00:01	Momentus Publishes Letter to Shareholders Highlighting Progress	Business Wire	5.68	0.1284	0.0519	0.8197	0.0765	positive	0.06267029972752043	YES
NUWE	"[""NUWE""]"	nGNX1Sdpjr	2026-05-05 08:00:01	Nuwellis, Inc. To Announce First Quarter 2026 Financial Results on May 12, 2026	Globe Newswire	2.42	0.0887	0.0426	0.8688	0.0461	neutral		NO:sentiment_score,Trades/sec
BLIN	"[""BLIN""]"	nACScPM3Pa	2026-05-05 08:00:01	Architectural Decor Brands Select HawkSearch to Elevate eCommerce Search	ACCESSWIRE	9.17	0.2191	0.0106	0.7703	0.2084	positive		NO:Trades/sec
VYX	"[""VYX""]"	nBw77J712a	2026-05-05 08:00:01	NCR Voyix Selected by Gyro Hut to Modernize and Strengthen its Technology Platform	Business Wire	137.68	0.8073	0.0072	0.1855	0.8002	positive		NO:Trades/sec
DSP	"[""DSP""]"	nBwrVDmRa	2026-05-05 08:00:02	Viant Technology Closes Acquisition of TVision Insights	Business Wire	16.49	0.1381	0.0897	0.7721	0.0484	neutral		NO:sentiment_score,Trades/sec
PMI	"[""PMI""]"	nGNXbWV354	2026-05-05 08:00:02	Picard Medical Announces Pricing of $5 Million Offering	Globe Newswire	24.95	0.1844	0.0285	0.7871	0.1559	positive		NO:Trades/sec
VENU	"[""VENU""]"	nBwc4hF2Ha	2026-05-05 08:00:02	Venu Holding Corporation to Host Fiscal 2026 First Quarter Earnings Call	Business Wire	43.56	0.1345	0.0178	0.8477	0.1168	positive		NO:Trades/sec
VRME	"[""VRME""]"	nBw9CmDgfa	2026-05-05 08:00:02	OpenWorld and Figure Technology Solutions to Pursue Tokenization of OpenWorld Securities on Figure's OPEN Network	Business Wire	10.29	0.1034	0.0121	0.8845	0.0913	positive		NO:Trades/sec
IZEA	"[""IZEA""]"	nGNX61MthX	2026-05-05 08:00:02	IZEA Announces Q1 2026 Earnings Results Conference Call	Globe Newswire	13.05	0.0736	0.0692	0.8572	0.0044	neutral		NO:sentiment_score,Trades/sec
LCTX	"[""LCTX""]"	nBw9YBvRCa	2026-05-05 08:00:02	Lineage Cell Therapeutics to Report First Quarter 2026 Financial Results and Provide Business Update on May 12, 2026	Business Wire	236.33	0.0763	0.0471	0.8766	0.0292	neutral		NO:sentiment_score,Trades/sec
CRBP	"[""CRBP""]"	nGNX94x4j6	2026-05-05 08:00:02	Corbus Pharmaceuticals to Host In-Person and Virtual KOL Event at ASCO 2026	Globe Newswire	16.01	0.103	0.0159	0.8812	0.0871	positive		NO:Trades/sec
TSQ	"[""TSQ""]"	nGNX22nqQx	2026-05-05 08:00:02	Townsquare Announces Digital Advertising Partnership With Broadway Media	Globe Newswire	13.08	0.2516	0.0433	0.7051	0.2083	positive		NO:Trades/sec
PTLO	"[""PTLO""]"	nGNXbzXylQ	2026-05-05 08:00:03	Portillo’s Inc. Announces First Quarter 2026 Financial Results	Globe Newswire	68.42	0.1022	0.1019	0.796	0.0003	neutral		NO:sentiment_score,Trades/sec
CLNN	"[""CLNN""]"	nGNX2nNvCk	2026-05-05 08:00:04	Clene to Present at Upcoming May Conferences	Globe Newswire	8.53	0.0911	0.0202	0.8886	0.0709	positive		NO:Trades/sec
FLNT	"[""FLNT""]"	nGNX8vfvvl	2026-05-05 08:00:04	FLINT Secures $319 million in New Contract Awards and Renewals	Globe Newswire	15.09	0.8819	0.0204	0.0977	0.8615	positive		NO:Trades/sec
