Symbol	Tickers	ID	Created	ArrivalDate	ArrivalTime	CurlTime	Headline	Author	Float	MktCap	Exchange	LastDailyClose	itiBaseline	tradeSizeBaseline	FinBERTCompletedAt	positive	negative	neutral	sentiment_score	label	Sentiment	ClerkArm	ClerkSentiment	nocoref_neutral_filter	nocoref_confidence_weighted	nocoref_net_score	nocoref_top_k	nocoref_positional	NoCorefCompletedAt
BIRD	"[""BIRD""]"	nGNX8xx0LX	08:10:00.089	2026-06-17	08:10:00.225	08:10:00.793	Smartbird Appoints New CEO to Advance AI Infrastructure Strategy	Globe Newswire	5.71	34.73	NASDAQ	3.94	637.4	435.4109	2026-06-17 08:10:00.815152	0.2303	0.0184	0.7512	0.2119	positive	OK	accepted:1005	sentiment_ack	0.4717	0.5157	0.2841	0.8373	0.2807	2026-06-17 08:10:01.237343
VNRX	"[""VNRX""]"	nPn4GgSvxa	08:15:00.246	2026-06-17	08:15:00.444	08:15:00.569	VolitionRx Announces Collaboration with Sysmex	PR Newswire	7.25	12.07	NYSE AMERICAN	1.4	950.0	518.696	2026-06-17 08:15:00.583479	0.2033	0.0258	0.771	0.1775	positive	OK	accepted:1009	sentiment_ack	0.4686	0.5682	0.3595	0.7981	0.4647	2026-06-17 08:15:01.179746
OBAI	"[""OBAI""]"	nGNX6xkj5W	08:17:00.105	2026-06-17	08:17:00.221	08:17:00.344	Bond Awarded Government-Funded Contract in the U.S. Delivering More Than $3 Million In Annual Recurring Revenue	Globe Newswire	14.71	27.16	NASDAQ	1.11	1692.4	672.9283	2026-06-17 08:17:00.366511	0.7141	0.0249	0.261	0.6892	positive	OK	accepted:1012	sentiment_ack	0.7019	0.7508	0.6666	0.8819	0.6557	2026-06-17 08:17:00.854470
ICCM	"[""ICCM""]"	nPn7Bm3tya	08:25:00.045	2026-06-17	08:25:00.182	08:25:00.384	IceCure Reports 70% Growth in Active U.S. Commercial Install Base for Breast Cancer Cryoablation Following FDA Clearance	PR Newswire	1.24	5.98	NASDAQ	2.13	1764.8	420.0686	2026-06-17 08:25:00.402835	0.8209	0.013	0.1661	0.8079	positive	OK	accepted:1013	sentiment_ack	0.5671	0.6988	0.5424	0.8815	0.5723	2026-06-17 08:25:01.051524
IVDA	"[""IVDA""]"	nBw4X387Ja	08:30:00.368	2026-06-17	08:30:00.921	08:30:03.642	Iveda Launches Sleep Sense for IvedaCare, Bringing Contactless Overnight Health Monitoring to Senior Living	Business Wire	10.63	5.98	NASDAQ	0.515	570.8	798.4208	2026-06-17 08:30:03.656356	0.2203	0.0134	0.7663	0.2068	positive	OK	accepted:1014	sentiment_ack	0.2448	0.3108	0.2157	0.6556	0.193	2026-06-17 08:30:04.496627
TOMZ	"[""TOMZ""]"	nGNX4F2Gvx	08:30:00.205	2026-06-17	08:30:00.921	08:30:03.596	TOMI Advances Toward NSF Certification to Address Multi-Billion-Dollar Pharmaceutical, Biotech and Cleanroom Decontamination Markets	Globe Newswire	14.47	16.18	NASDAQ	0.6941	2945.0	1639.9699	2026-06-17 08:30:03.623112	0.7522	0.0096	0.2381	0.7426	positive	OK	accepted:1010	sentiment_ack	0.4401	0.5955	0.4013	0.8006	0.392	2026-06-17 08:30:04.560545
RYET	"[""RYET""]"	nGNX1LFpPJ	08:30:00.524	2026-06-17	08:30:01.262	08:30:04.974	Ruanyun Edai Technology Unveils Smart Campus Services Business With Approximately US$9.49 Million in Cumulative Operating Revenue Since September 2025 Launch	Globe Newswire	12.73	36.12	NASDAQ	1.07	1115.4	534.3237	2026-06-17 08:30:05.005354	0.3427	0.0162	0.6412	0.3265	positive	OK	accepted:1015	sentiment_ack	0.3939	0.4708	0.2558	0.7354	0.2167	2026-06-17 08:30:05.405745
CAPS	"[""CAPS""]"	nBwC3nQDa	08:30:00.587	2026-06-17	08:30:01.653	08:30:07.784	Capstone Enters the Southeast's Fastest-Growing Homebuilding Corridor Amid Accelerating Builder Demand	Business Wire	7.79	3.62	NASDAQ	0.287	852.7	1016.0769	2026-06-17 08:30:07.799181	0.9108	0.0208	0.0684	0.89	positive	OK	accepted:1011	sentiment_ack	0.6176	0.7108	0.6176	0.8848	0.6673	2026-06-17 08:30:08.259249
GELS	"[""GELS""]"	nGNX9bRz1F	08:30:00.835	2026-06-17	08:30:02.143	08:30:10.028	Gelteq Provides Corporate Update: Launching Veterinary and Human Clinical Trials, Pharmaceutical Pipeline Expanding Across Multiple Programs	Globe Newswire	5.62	13.17	NASDAQ	1.23	4.0	357.8698	2026-06-17 08:30:10.051459	0.2625	0.0099	0.7277	0.2526	positive	OK	accepted:1016	sentiment_ack	0.5975	0.6734	0.5702	0.8391	0.5469	2026-06-17 08:30:10.679893
MTVA	"[""MTVA""]"	nPnbpM6HJa	08:31:00.041	2026-06-17	08:31:00.129	08:31:00.190	MetaVia to Highlight Novel Obesity and Metabolic Therapies at Upcoming Life Sciences Virtual Investor Forum	PR Newswire	3.37	8.52	NASDAQ	1.65	171.5	370.8211	2026-06-17 08:31:00.206654	0.1984	0.0338	0.7678	0.1646	positive	BAD	accepted:1019	sentiment_bad_released	0.4994	0.51	0.2473	0.7401	0.1928	2026-06-17 08:31:00.583390
BIAF	"[""BIAF"", ""BIAFW""]"	nPn4YpvQ1a	10:42:13.419	2026-06-17	10:42:13.567	10:42:14.109	WallachBeth Capital Announces Pricing of bioAffinity Technologies $3.2 Million Offering	PR Newswire	4.39	4.28	NASDAQ	0.9448	70.2	516.057	2026-06-17 10:42:14.129783	0.2195	0.0195	0.7611	0.2	positive	OK	accepted:1004	sentiment_ack	0.2202	0.1912	0.0707	0.3716	0.074	2026-06-17 10:42:15.144111
AIFA	"[""AIFA""]"	nGNXbhznBJ	10:45:25.095	2026-06-17	10:45:25.217	10:45:25.480	All In FutureTech Alliance Inc. Announces the Election of Prominent AI Technology Investor and Influential Content Creator Li Shanglong as New Chairman, Along With Certain Management Changes	Globe Newswire	6.4	13.95	NASDAQ	2.18	74.8	153.7609	2026-06-17 10:45:25.518131	0.1062	0.0259	0.868	0.0803	positive	BAD	accepted:1002	sentiment_bad_released	0.2187	0.2454	0.1759	0.719	0.1214	2026-06-17 10:45:26.127199
WTO	"[""WTO""]"	nGNX9hFGc6	11:15:00.101	2026-06-17	11:15:00.195	11:15:00.431	UTime Limited Announces Reverse Stock Split	Globe Newswire	0.97	1.83	NASDAQ	0.9279	5.3	342.807	2026-06-17 11:15:00.446428	0.0979	0.0958	0.8064	0.0021	neutral	BAD	accepted:1000	sentiment_bad_released	0.1394	0.1366	0.0712	0.2384	0.0783	2026-06-17 11:15:00.818259
FTHM	"[""FTHM""]"	nPn54kk1ba	11:34:00.042	2026-06-17	11:34:00.131	11:34:00.345	Shareholder Alert: Ademi LLP investigates whether Fathom Holdings Inc. is obtaining a Fair Price for Public Shareholders	PR Newswire	19.29	20.75	NASDAQ	0.633	118.0	720.5109	2026-06-17 11:34:00.360807	0.1448	0.076	0.7792	0.0688	positive	BAD	accepted:1001	sentiment_bad_released	0.0957	0.117	0.05	0.1022	0.0394	2026-06-17 11:34:00.616130
ATHR	"[""ATHR""]"	nGNX7XnQV1	12:07:36.103	2026-06-17	12:07:36.204	12:07:36.732	ATHR Investor Notice: Johnson Fistel Investigates Aether Holdings, Inc.	Globe Newswire	4.12	35.59	NASDAQ	2.93	1413.8	369.011	2026-06-17 12:07:36.748102	0.0435	0.1743	0.7823	-0.1308	negative	BAD	accepted:1017	sentiment_bad_released	-0.0314	-0.0841	-0.0163	0.1129	0.0067	2026-06-17 12:07:37.115297
OBAI	"[""OBAI""]"	nGNX9ChWzf	12:50:00.103	2026-06-17	12:50:00.201	12:50:00.532	Bond Wins Deal With A Major International City With Over 1,000,000 Residents	Globe Newswire	14.71	27.16	NASDAQ	1.11	50.9	759.5655	2026-06-17 12:50:00.555310	0.8783	0.0174	0.1043	0.8608	positive	OK	accepted:1018	sentiment_ack	0.6188	0.6636	0.4264	0.8419	0.5279	2026-06-17 12:50:01.030614
TRNR	"[""TRNR""]"	nACSvSND8a	12:55:00.858	2026-06-17	12:55:00.988	12:55:01.194	TRNR Updates FAQs, With a More Than 50% Quarterly Revenue Increase Expected in Q2 From Q1	ACCESSWIRE	2.3309	1.68	NASDAQ	0.7222	51.2	605.4842	2026-06-17 12:55:01.213236	0.8631	0.0124	0.1245	0.8507	positive	OK	accepted:1003	sentiment_ack	0.2996	0.3469	0.1893	0.5864	0.2297	2026-06-17 12:55:01.914281
ICCM	"[""ICCM""]"	nPn7VrdmQa	13:15:07.119	2026-06-17	13:15:07.318	13:15:07.525	IceCure Announces Pricing of $5.5 Million Private Placement Priced At a Premium to the Market Price with a Single Healthcare Focused Institutional Investor	PR Newswire	1.24	5.98	NASDAQ	2.13	73.4	337.4855	2026-06-17 13:15:07.552643	0.2965	0.0168	0.6867	0.2797	positive	OK	accepted:1006	sentiment_ack	0.2018	0.2091	0.1097	0.4362	0.0938	2026-06-17 13:15:08.145925
DAIO	"[""DAIO""]"	nGNXPJJ9q	13:46:19.094	2026-06-17	13:46:19.271	13:46:19.526	Data I/O Announces Closing of $9 Million Investment	Globe Newswire	8.93	36.45	NASDAQ	3.88	186.4	343.9608	2026-06-17 13:46:19.549455	0.0853	0.0507	0.864	0.0346	neutral	BAD	accepted:1005	sentiment_bad_released	0.2044	0.222	0.1219	0.3905	0.1113	2026-06-17 13:46:20.090038
FTHM	"[""FTHM""]"	nPn2VsJFPa	13:50:00.447	2026-06-17	13:50:00.590	13:50:01.569	$HAREHOLDER ALERT: The M&A Class Action Firm Announces An Investigation of Fathom Holdings Inc. (NASDAQ: FTHM)	PR Newswire	19.29	20.75	NASDAQ	0.633	118.0	720.5109	2026-06-17 13:50:01.587958	0.1605	0.2084	0.6311	-0.0478	neutral	BAD	accepted:1007	sentiment_bad_released	0.0971	0.1164	0.0561	0.3333	0.0594	2026-06-17 13:50:02.074932
TDTH	"[""TDTH""]"	nGNX9sp3KD	14:45:02.108	2026-06-17	14:45:02.279	14:45:02.583	Trident Digital Tech Holdings (Nasdaq: TDTH) Positions for Next Phase of Global Expansion Through Direct Nasdaq Ordinary Share Listing and Strategic Capital Realignment	Globe Newswire	3.0453	7.96	NASDAQ	2.23	333.8	247.4609	2026-06-17 14:45:02.626302	0.6054	0.0113	0.3833	0.5941	positive	OK	accepted:1012	sentiment_ack	0.4042	0.4539	0.3064	0.6932	0.2143	2026-06-17 14:45:03.211612
MTEN	"[""MTEN""]"	nGNX6qbVQ7	15:15:00.097	2026-06-17	15:15:00.245	15:15:00.511	Mingteng International Corporation Inc. Announces Pricing of $2.96 Million Registered Direct Offering and Concurrent Private Placement	Globe Newswire	0.84	3.74	NASDAQ	3.06	0.8	363.9159	2026-06-17 15:15:00.532239	0.1314	0.021	0.8476	0.1104	positive	BAD	accepted:1013	sentiment_bad_released	0.1063	0.0754	0.0537	0.2077	0.074	2026-06-17 15:15:01.111517
COSM	"[""COSM""]"	nGNX6wKKL0	15:35:00.094	2026-06-17	15:35:00.286	15:35:00.809	Cosmos Health Enters the $163 Billion Global Skincare Market; Sales Already Underway in the United States	Globe Newswire	20.53	15.51	NASDAQ	0.2498	5.1	1004.2127	2026-06-17 15:35:00.836185	0.768	0.012	0.22	0.756	positive	OK	accepted:1015	sentiment_ack	0.4092	0.494	0.2816	0.7967	0.3694	2026-06-17 15:35:01.448945
ZDGE	"[""ZDGE""]"	nACSVH7F1a	16:10:00.799	2026-06-17	16:10:00.992	16:10:02.031	Zedge's Tapedeck Adds Betty Wright's Catalog in Agreement With the Late Soul Legend's Estate	ACCESSWIRE	10.24	39.26	NYSE AMERICAN	3.01	265.6	261.1232	2026-06-17 16:10:02.047312	0.191	0.0168	0.7922	0.1741	positive	BAD	accepted:1011	sentiment_bad_released	0.2417	0.3045	0.1909	0.6333	0.1678	2026-06-17 16:10:02.540083
BDRX	"[""BDRX"", ""5MP2Y""]"	nGNX6B3NNW	16:30:00.320	2026-06-17	16:30:01.066	16:30:05.072	Postponement and Re-scheduling of Annual General Meeting	Globe Newswire	0.6012	1.34	NASDAQ	2.98	4296.9	207.4118	2026-06-17 16:30:05.092755	0.0227	0.7448	0.2324	-0.7221	negative	BAD	accepted:1016	sentiment_bad_released	0.1978	0.1908	0.1425	0.5477	0.081	2026-06-17 16:30:05.795007
CRMT	"[""CRMT""]"	nNFC3qSphJ	16:38:20.213	2026-06-17	16:38:20.336	16:38:20.598	ROSEN, A LONGSTANDING LAW FIRM, Encourages America's Car-Mart, Inc. Investors to Inquire About Securities Class Action Investigation - CRMT	Newsfile Corp	7.61	19.43	NASDAQ	2.34	70.5	406.3343	2026-06-17 16:38:20.621276	0.253	0.0786	0.6685	0.1744	positive	OK	accepted:1014	sentiment_bad_released	-0.0623	-0.1822	-0.0283	0.4795	-0.0823	2026-06-17 16:38:20.962251
CIIT	"[""CIIT""]"	nACSlB9Qda	17:00:00.757	2026-06-17	17:00:00.967	17:00:03.181	Tianci International, Inc. Announces Closing of US$4.9 Million Public Offering	ACCESSWIRE	1.27	1.6	NASDAQ	0.442	11.3	267.6828	2026-06-17 17:00:03.206450	0.0811	0.0478	0.871	0.0333	neutral	BAD	accepted:1002	sentiment_bad_released	0.182	0.1536	0.0903	0.3289	0.0653	2026-06-17 17:00:03.659653
CRWS	"[""CRWS""]"	nGNX3M5NbK	19:20:00.097	2026-06-17	19:20:00.228	19:20:00.406	Crown Crafts to Announce Fourth Quarter and Full Year Fiscal 2026 Results on June 24, 2026	Globe Newswire	9.45	29.53	NASDAQ	2.76	28500.0	1209.3125	2026-06-17 19:20:00.430875	0.0745	0.0383	0.8872	0.0362	neutral	BAD	accepted:1004	sentiment_bad_released	0.0491	0.0448	0.0368	0.0707	0.0364	2026-06-17 19:20:00.753375
