Symbol	Tickers	ID	ArrivalTime	Headline	Author	Float	positive	negative	neutral	sentiment_score	label	Trades/sec	Trigger	Exchange	DailyHigh($)	DailyHigh(%)	FinBERTCompletedAt	body_sentiment	BodyCompletedAt	body_duration_ms	neutral_filter	confidence_weighted	net_score	top_k	positional	recommended
AUUD	"[""AUUD""]"	nGNX4nwJWx	2026-05-04 06:00:00	Auddia Introduces Voyex as Stranded Spirit Airlines Passengers Highlight Urgent Need for Agentic AI Rebooking Infrastructure	Globe Newswire	0.5	0.1621	0.1851	0.6528	-0.0229	neutral	0.0471869328493647	NO:sentiment_score	NASDAQ	1.95	8.33					0.2109	0.291	0.172	0.2853	0.1281	0.3211
SNT	"[""SNT""]"	nPn9j7gHfa	2026-05-04 06:00:00	Senstar Technologies Announces Filing and Availability of 2025 Annual Report on Form 20-F	PR Newswire	13.47	0.0747	0.0383	0.8869	0.0364	neutral		NO:sentiment_score,Trades/sec	NASDAQ	2.9	5.45					0.0	0.0163	0.0166	0.0166	0.0147	0.0
AURA	"[""AURA""]"	nGNXbFRcs7	2026-05-04 06:01:00	Aura Biosciences Announces CEO Transition as Company Advances Phase 3 CoMpass Trial Toward Enrollment Completion 	Globe Newswire	44.71	0.3137	0.1382	0.5481	0.1754	positive		NO:sentiment_score,Trades/sec	NASDAQ	8.49	21.11					0.3667	0.4696	0.268	0.7751	0.3525	0.5162
AHRT	"[""AHRT""]"	nGNXb82Rzg	2026-05-04 06:04:00	AH Realty Trust Signs 22,000-Square-Foot Office Lease at Southern Post	Globe Newswire	79.06	0.2003	0.0171	0.7826	0.1832	positive	0.0008930166101089	NO:sentiment_score,Float	NYSE	6.14	0.99					0.3861	0.464	0.2609	0.6693	0.2825	0.5453
SAFX	"[""SAFX""]"	nACSbz0yNa	2026-05-04 06:30:00	XCF Global Provides First Quarter 2026 Corporate and Operational Update Establishes 2027 Targets of $110-$120M Net Revenue and 40-43M Gallons of Renewable Fuel Production at New Rise Reno	ACCESSWIRE	32.88	0.3283	0.0128	0.6589	0.3155	positive	0.0219058050383351	YES	NASDAQ	0.64	30.61					0.3667	0.4351	0.1798	0.7575	0.3914	0.5499
CLNE	"[""CLNE""]"	nBw9qwHRsa	2026-05-04 06:30:00	Clean Energy Broadens RNG Footprint With New Stations Positioned on Key Freight Corridors	Business Wire	140.04	0.8523	0.0094	0.1383	0.8428	positive	0.0011985617259288	YES	NASDAQ	2.44	4.27					0.5287	0.6286	0.4616	0.731	0.5409	0.6431
CABA	"[""CABA""]"	nGNXrbl6B	2026-05-04 06:35:54	Cabaletta Bio Announces Pricing of $150 Million Underwritten Offering	Globe Newswire	97.48	0.14	0.0377	0.8223	0.1023	positive	0.0362047440699126	NO:sentiment_score	NASDAQ	4.05	36.82					0.1929	0.1952	0.1453	0.1929	0.1981	0.2123
CWH	"[""CWH""]"	nGNXbZXGsZ	2026-05-04 06:41:00	$CWH Stock Drop Alert: Camping World Stock Plummeted 24% on News of Inventory Management Issues – Investors Notified to Contact BFA Law about the Class Action	Globe Newswire	58.96	0.0661	0.8761	0.0578	-0.81	negative	0.0015680125441003	NO:sentiment_score	NYSE	7.96	2.45					-0.0857	-0.1523	-0.0447	0.7829	-0.1054	-0.1728
SEER	"[""SEER""]"	nGNX381GLy	2026-05-04 07:00:00	Seer Announces Appointment of Anthony Bazarko as Chief Commercial Officer	Globe Newswire	29.44	0.0491	0.0427	0.9082	0.0064	neutral	0.0004369674459252	NO:sentiment_score	NASDAQ	2.09	2.96					0.2208	0.1601	0.1216	0.1216	0.0556	0.2208
POET	"[""POET""]"	nACSmYhpZa	2026-05-04 07:00:00	Pomerantz LLP Advises of Securities Class Action Involving POET Technologies Inc.  – POET	ACCESSWIRE	90.52	0.1468	0.1479	0.7052	-0.0011	neutral	0.1532846715328467	NO:sentiment_score	NASDAQ	7.86	6.94					-0.3646	-0.4209	-0.1497	0.11	-0.1489	-0.5178
CBUS	"[""CBUS""]"	nGNXvjxr9	2026-05-04 07:00:00	Cibus Announces Transfer of Gene-Edited Herbicide Tolerance Traits in Interoc Rice Seeds for Testing and Production	Globe Newswire	47.19	0.4981	0.0138	0.4881	0.4843	positive		NO:Trades/sec	NASDAQ	1.54	6.21					0.3535	0.3535	0.3535	0.3535	0.3535	0.3535
SLMT	"[""SLMT""]"	nBw7Y8ss8a	2026-05-04 07:00:00	Letter to Shareholders of Brera Holdings PLC (d/b/a Solmate Infrastructure)	Business Wire	44.62	0.1537	0.0275	0.8188	0.1263	positive	0.0026852846401718	NO:sentiment_score	NASDAQ	8.11	8.13					0.244	0.2841	0.244	0.244	0.3508	0.2841
MCRB	"[""MCRB""]"	nGNX3g78mQ	2026-05-04 07:00:00	Seres Therapeutics Presents Preclinical Data at Digestive Disease Week (DDW) 2026 Supporting SER-603, a Next-Generation Cultivated Live Biotherapeutic Candidate, for Inflammatory Bowel Disease	Globe Newswire	7.24	0.7591	0.0176	0.2232	0.7415	positive		NO:Trades/sec	NASDAQ	8.29	8.94					0.2893	0.3741	0.2893	0.2893	0.3824	0.3741
BCRX	"[""BCRX""]"	nGNX2QMGdN	2026-05-04 07:00:01	BioCryst Announces European Licensing Agreement with Irish Affiliate of Neopharmed Gentili for Navenibart in Hereditary Angioedema	Globe Newswire	226.41	0.8263	0.0183	0.1553	0.808	positive		NO:Trades/sec	NASDAQ	9.39	2.51					0.7222	0.7222	0.7222	0.7222	0.7222	0.7222
ARMP	"[""ARMP""]"	nPn5ZPCxVa	2026-05-04 07:00:00	"Armata Pharmaceuticals Announces Structural Biology Publication in ""Communications Biology"""	PR Newswire	11.27	0.1608	0.0217	0.8174	0.1391	positive		NO:sentiment_score,Trades/sec	NYSE American	10.85	19.76					0.3909	0.4871	0.2696	0.2696	0.2238	0.544
TLRY	"[""TLRY""]"	nGNX5xZKcw	2026-05-04 07:00:00	10 Barrel Brewing Launches Clean Slate and Salty Sips, Expanding RTD Line with Functional N/A and Low-Sugar Cocktails	Globe Newswire	118.71	0.4079	0.0112	0.5809	0.3966	positive		NO:Trades/sec	TSX							0.3856	0.4057	0.3856	0.3856	0.4484	0.4057
ALDX	"[""ALDX""]"	nACSCGz8fa	2026-05-04 07:00:01	Pomerantz LLP Informs Shareholders of Securities Class Action Filing Against Aldeyra Therapeutics, Inc.  – ALDX	ACCESSWIRE	55.6	0.1571	0.1923	0.6506	-0.0352	neutral		NO:sentiment_score,Trades/sec	NASDAQ	1.68	5.66					-0.0403	-0.0764	0.0008	0.2651	-0.0041	-0.107
CGEN	"[""CGEN""]"	nPn8mXkzka	2026-05-04 07:00:01	Compugen to Release First Quarter 2026 Results on Monday, May 18, 2026	PR Newswire	92.49	0.0464	0.0382	0.9154	0.0082	neutral		NO:sentiment_score,Trades/sec	NASDAQ	2.73	0.37					0.2832	0.2622	0.1601	0.3806	0.1271	0.335
AZ	"[""AZ""]"	nPn4xZ0mSa	2026-05-04 07:00:02	A2Z Cust2Mate Solutions to Host First Quarter 2026 Financial Results Conference Call on Friday, May 15, 2026	PR Newswire	32.61	0.1245	0.0197	0.8558	0.1047	positive		NO:sentiment_score,Trades/sec	NASDAQ	7.79	5.13					0.06	0.0758	0.0771	0.0771	0.0785	0.06
ATRA	"[""ATRA""]"	nACSlHp5ga	2026-05-04 07:00:01	 ATRA INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Atara Biotherapeutics, Inc. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	4.86	0.1917	0.1769	0.6315	0.0148	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.02	9.13					0.0288	0.029	0.025	0.4484	-0.023	0.0305
CNSP	"[""CNSP""]"	nACSVwCDSa	2026-05-04 07:00:03	CNS Pharmaceuticals Announces Oversubscribed $22.5 Million Private Placement Financing	ACCESSWIRE	0.7158	0.0376	0.8279	0.1344	-0.7903	negative		NO:sentiment_score,Trades/sec	NASDAQ	10.82	368.4					0.4322	0.5008	0.256	0.5303	0.4262	0.5751
AQST	"[""AQST""]"	nACS1py6ga	2026-05-04 07:00:02	Pomerantz LLP Notifies Shareholders of Class Action Lawsuit Against Aquestive Therapeutics, Inc. – AQST	ACCESSWIRE	114.86	0.1378	0.2229	0.6393	-0.0851	negative		NO:sentiment_score,Trades/sec	NASDAQ	4.29	2.14					-0.1532	-0.195	-0.0429	0.094	-0.0473	-0.2673
GOSS	"[""GOSS""]"	nACSMS9g2a	2026-05-04 07:00:02	Pomerantz LLP Issues Alert Regarding Shareholder Class Action Involving Gossamer Bio, Inc.  – GOSS	ACCESSWIRE	204.1	0.11	0.2477	0.6423	-0.1378	negative		NO:sentiment_score,Trades/sec	NASDAQ	0.38	2.7					0.0266	0.0194	0.0289	0.4185	0.0155	0.0159
FCHL	"[""FCHL""]"	nACS86LL8a	2026-05-04 07:00:03	FCHL SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Fitness Champs Holdings Ltd. Shareholders with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	0.35	0.1359	0.3299	0.5342	-0.194	negative		NO:sentiment_score,Trades/sec	NASDAQ	3.65	43.7					-0.0213	-0.0265	0.0027	0.3341	-0.0493	-0.0464
CHOW	"[""CHOW""]"	nACS6tP8Ja	2026-05-04 07:00:03	CHOW INVESTOR ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that ChowChow Cloud International Holdings Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	10.64	0.1335	0.1696	0.6969	-0.0361	neutral		NO:sentiment_score,Trades/sec	NYSE American	0.44	4.76					0.016	0.0262	0.0176	0.3292	-0.0283	0.0278
GEMI	"[""GEMI""]"	nACSL5qFga	2026-05-04 07:00:05	Class Action Litigation by Pomerantz LLP Filed Against Gemini Space Station, Inc.  – GEMI	ACCESSWIRE	38.2	0.1237	0.1149	0.7614	0.0087	neutral		NO:sentiment_score,Trades/sec	NASDAQ	5.0	5.26					-0.0384	-0.0579	-0.0055	0.809	0.0396	-0.0745
NUAI	"[""NUAI""]"	nACStRFnMa	2026-05-04 07:00:05	NUAI SHAREHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that New Era Energy & Digital, Inc. (f/k/a New Era Helium Inc.) Shareholders with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	73.85	0.1759	0.1885	0.6356	-0.0126	neutral		NO:sentiment_score,Trades/sec	NASDAQ	4.18	3.98					0.0012	-0.0001	0.0109	0.3341	-0.0369	-0.008
SES	"[""SES""]"	nACSvvJbla	2026-05-04 07:00:04	SES SHAREHOLDER ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that SES AI Corporation Stockholders with Substantial Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	236.25	0.167	0.3291	0.5039	-0.1621	negative		NO:sentiment_score,Trades/sec	NYSE	1.07	1.9					-0.0539	-0.112	-0.0137	0.2233	-0.0731	-0.1548
GO	"[""GO""]"	nACSCQYPza	2026-05-04 07:00:06	GO STOCKHOLDER ALERT: Bronstein, Gewirtz and Grossman, LLC Announces that Grocery Outlet Holding Corp. Investors with Losses Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	90.72	0.1298	0.3183	0.5519	-0.1885	negative		NO:sentiment_score,Trades/sec	NASDAQ	8.36	0.24					0.0232	0.0161	0.0189	0.3341	-0.0263	0.0161
YOOV	"[""YOOV""]"	nACSJT2P5a	2026-05-04 07:00:07	CIGL INVESTOR ALERT:  Bronstein, Gewirtz and Grossman, LLC Announces that Concorde International Group, Ltd. Shareholders Have Opportunity to Lead Class Action Lawsuit!	ACCESSWIRE	5.91	0.1527	0.2527	0.5946	-0.1	negative		NO:sentiment_score,Trades/sec	NASDAQ	1.63	4.49					0.0301	0.0226	0.0225	0.3341	-0.0205	0.0245
ZENA	"[""ZENA""]"	nNFC6B7cB7	2026-05-04 07:00:23	ZenaTech Files Early Warning Report Pursuant to National Instrument 61-103	Newsfile Corp	18.44	0.0793	0.0526	0.8681	0.0268	neutral		NO:sentiment_score,Trades/sec	NASDAQ	2.58	6.17					0.2216	0.2778	0.0973	0.2856	0.0918	0.4363
UHG	"[""UHG""]"	nACSjgnwga	2026-05-04 07:00:06	Pomerantz LLP Issues Reminder to United Homes Group, Inc.  Investors – UHG	ACCESSWIRE	11.21	0.1169	0.0421	0.841	0.0748	positive		NO:sentiment_score,Trades/sec	NASDAQ							-0.2042	-0.2513	-0.081	0.3838	-0.0868	-0.3031
ICG	"[""ICG""]"	nNFC1k59GR	2026-05-04 07:00:28	ICG Silver & Gold Announces Completion of Initial District-Scale Geological Modeling, Increasing Historical Drilling Database to over 40,000 Meters at the Tuscarora District	Newsfile Corp	29.4089	0.7557	0.01	0.2342	0.7457	positive		NO:Trades/sec								0.668	0.5245	0.2527	0.2527	0.6345	0.668
UGRO	"[""UGRO""]"	nGNX9mMwc9	2026-05-04 07:05:00	Galle Gallants Announce New Ownership Under Gallant Sports and Media LLC Within urban-gro / Flash Sports & Media / IPG–Operated LPL Season 6 Ecosystem; Pubudu Dassanayake Appointed Head Coach	Globe Newswire	1.01	0.1565	0.0183	0.8252	0.1383	positive	0.0125470514429109	NO:sentiment_score	NASDAQ	6.35	4.44					0.2692	0.2977	0.1968	0.3224	0.3505	0.3351
IRWD	"[""IRWD""]"	nBw4tvNmGa	2026-05-04 07:05:00	Ironwood Survey Findings at DDW 2026 Underscore Need for Therapies that Address Multiple Dimensions of Total Parenteral Nutrition (TPN) Burden in Short Bowel Syndrome (SBS)	Business Wire	156.39	0.6631	0.0463	0.2906	0.6168	positive	0.003537944454272	YES	NASDAQ	4.64	5.45					0.3094	0.3421	0.3094	0.3544	0.4391	0.3421
NXTC	"[""NXTC""]"	nGNX6dVjbk	2026-05-04 07:05:00	NextCure and Simcere Zaiming Initiate Dose Optimization for SIM0505 (CDH6 ADC) in Gynecologic Cancers	Globe Newswire	2.38	0.4226	0.0234	0.5541	0.3992	positive	0.0003711952487008	YES	NASDAQ	9.44	0.85					0.2611	0.4014	0.1868	0.519	0.3805	0.4562
RNAC	"[""RNAC""]"	nGNX8Gybwn	2026-05-04 07:05:00	Cartesian Therapeutics Announces New Employment Inducement Grants	Globe Newswire	9.59	0.2442	0.1366	0.6192	0.1076	positive		NO:sentiment_score,Trades/sec	NASDAQ	6.98	12.22					0.1984	0.1417	0.1145	0.1145	0.0826	0.1984
MCRP	"[""MCRP""]"	nGNX6zPn2n	2026-05-04 07:29:19	Micropolis Robotics Unveils New, Next-Generation, High-Endurance Robot at the Make it in the Emirates 2026 Industry Exhibition	Globe Newswire	10.32	0.2435	0.009	0.7474	0.2345	positive	0.0016770082173402	YES	NYSE American	2.95	8.46					0.4902	0.6558	0.4902	0.4902	0.2886	0.6558
KURA	"[""KURA""]"	nGNX32msjF	2026-05-04 07:30:00	Kura Oncology Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4)	Globe Newswire	86.06	0.1255	0.035	0.8395	0.0906	positive	0.0017026106696935	NO:sentiment_score	NASDAQ	9.42	6.68					0.5821	0.5876	0.5821	0.5821	0.5663	0.5876
REKR	"[""REKR""]"	nGNE45LCZG	2026-05-04 07:30:00	Rekor Systems Secures $16.8 Million Contract with Oklahoma District Attorneys Council as Technology Partner for Statewide Uninsured Vehicle Enforcement Program	Globe Newswire	131.89	0.8394	0.0169	0.1437	0.8226	positive	0.0150943396226415	YES	NASDAQ	1.19	38.37					0.6507	0.6455	0.3999	0.6507	0.7185	0.7004
MGNX	"[""MGNX""]"	nGNE4xGFwb	2026-05-04 07:30:00	MacroGenics and Sagard Healthcare Partners Enter into Expanded ZYNYZ® Royalty Purchase Agreement 	Globe Newswire	61.39	0.4006	0.0128	0.5866	0.3878	positive	0.000915834783405	YES	NASDAQ	3.4	8.28					0.5383	0.5349	0.3146	0.743	0.3857	0.622
GBTG	"[""GBTG""]"	nBwTl8nLa	2026-05-04 07:30:00	Long Lake Agrees to Acquire American Express Global Business Travel, the World’s Largest Corporate Travel Platform, for $6.3 Billion, With Support From General Catalyst and Alpha Wave	Business Wire	240.56	0.6906	0.0105	0.299	0.6801	positive	1.818181818181818	YES	NYSE	9.39	58.35					0.3469	0.3999	0.2034	0.8188	0.4656	0.4735
RLJ	"[""RLJ""]"	nBw6Cc41Va	2026-05-04 07:30:00	RLJ Lodging Trust Reports First Quarter 2026 Results	Business Wire	122.17	0.0781	0.0733	0.8486	0.0048	neutral		NO:sentiment_score,Trades/sec	NYSE	8.56	0.94					0.0	0.0007	0.0007	0.0007	0.0007	0.0
FGNX	"[""FGNX""]"	nGNX7rqwz7	2026-05-04 07:30:00	FG Nexus Announces Formation of Special Committee to Evaluate Strategic Alternatives including a Potential Business Combination to Build a Leading Platform in Affordable Housing	Globe Newswire	5.3	0.6284	0.0145	0.3571	0.6138	positive	0.0009920634920634	YES	NASDAQ	6.89	7.49					0.4133	0.5635	0.4133	0.4133	0.3613	0.5635
ADCT	"[""ADCT""]"	nPn2HRHZba	2026-05-04 07:30:03	ADC Therapeutics Reports First Quarter 2026 Financial Results and Provides Operational Updates	PR Newswire	93.68	0.1103	0.0392	0.8506	0.0711	positive		NO:sentiment_score,Trades/sec	NYSE	4.19	8.83					0.5238	0.5994	0.2994	0.7517	0.4987	0.684
KWM	"[""KWM""]"	nGNX6bY1K4	2026-05-04 07:30:00	K Wave Media Secures $485M to Launch AI Infrastructure Platform and Eliminates $48M in Debt	Globe Newswire	43.72	0.7931	0.0317	0.1752	0.7613	positive		NO:Trades/sec	NASDAQ	0.59	55.26					0.0	0.0192	0.0192	0.0192	0.0192	0.0
KIDZ	"[""KIDZ""]"	nACSXft9ya	2026-05-04 07:35:00	Classover Announces Strategic Collaboration With Vensin Computer Technology To Advance AI Robotics Education and Infrastructure	ACCESSWIRE	0.99	0.6871	0.0091	0.3038	0.678	positive	0.0701754385964912	YES	NASDAQ	1.02	43.66					0.611	0.3509	0.118	0.2406	0.2387	0.611
PML	"[""PML""]"	nGNX4kZMvp	2026-05-04 07:45:00	Panoro Announces Brokered LIFE Offering for Gross Proceeds of up to $20 Million	Globe Newswire	125.43	0.1541	0.0147	0.8312	0.1395	positive		NO:sentiment_score,Trades/sec								0.1223	0.1	0.0684	0.3311	0.1313	0.1401
STKL	"[""STKL""]"	nGNE1CM6yb	2026-05-04 08:00:00	News Release in accordance with Canadian National Instrument 62-103	Globe Newswire	95.73	0.0726	0.0286	0.8988	0.044	neutral		NO:sentiment_score,Trades/sec	NASDAQ												
PRQR	"[""PRQR""]"	nGNE8gnzYB	2026-05-04 08:00:00	ProQR Announces Annual General Meeting of Shareholders to be Held June 2, 2026	Globe Newswire	71.43	0.0441	0.0266	0.9293	0.0176	neutral	0.0056290458767238	NO:sentiment_score	NASDAQ	1.66	7.1					0.1966	0.1156	0.0943	0.0943	0.0975	0.1966
EVAX	"[""EVAX""]"	nGNE48vHPm	2026-05-04 08:00:00	Evaxion to announce business update and first quarter 2026 financial results on May 7, 2026	Globe Newswire	6.74	0.0752	0.0429	0.8818	0.0323	neutral	0.0002881014116969	NO:sentiment_score	NASDAQ	4.75	5.56					0.0907	0.0907	0.0907	0.0907	0.0907	0.0907
LENZ	"[""LENZ""]"	nGNXbxCVNl	2026-05-04 08:00:00	LENZ Therapeutics to Report First Quarter 2026 Financial Results and Recent Corporate Highlights on May 11, 2026 and Attend Upcoming Investor Conference	Globe Newswire	27.72	0.0628	0.031	0.9062	0.0318	neutral	0.0008090614886731	NO:sentiment_score	NASDAQ	9.53	6.01					0.189	0.1535	0.1155	0.1412	0.1169	0.1998
VYX	"[""VYX""]"	nBwZPRZLa	2026-05-04 08:00:00	Stater Bros. Markets Signs New Agreement With NCR Voyix to Modernize POS and Payments on the Voyix Commerce Platform	Business Wire	137.68	0.8314	0.0089	0.1596	0.8225	positive	0.0011528706479133	YES	NYSE	7.49	4.17					0.6206	0.6825	0.5315	0.7839	0.6242	0.6977
MIMI	"[""MIMI""]"	nGNE9j5ztg	2026-05-04 08:00:00	Mint Incorporation Limited Announces 1-for-10 Reverse Stock Split	Globe Newswire	12.7	0.0964	0.0252	0.8784	0.0712	positive		NO:sentiment_score,Trades/sec	NASDAQ	2.92	0.0					0.0	0.0829	0.0827	0.0827	0.0913	0.0
JRSH	"[""JRSH""]"	nACSQcYNya	2026-05-04 08:00:00	Jerash Holdings (US), Inc. Declares Quarterly Dividend	ACCESSWIRE	6.33	0.0951	0.0867	0.8181	0.0084	neutral		NO:sentiment_score,Trades/sec	NASDAQ	3.55	0.57					0.1869	0.1607	0.0789	0.1386	0.0949	0.2442
CLNN	"[""CLNN""]"	nGNX4fy73s	2026-05-04 08:00:01	After Successful FDA Meeting, Clene Filing Accelerated Approval NDA for ALS	Globe Newswire	8.53	0.6211	0.0226	0.3563	0.5985	positive	0.0066282420749279	YES	NASDAQ	9.78	62.46					0.1783	0.1841	0.1783	0.1783	0.2047	0.1841
LCTX	"[""LCTX""]"	nBwcw7dha	2026-05-04 08:00:01	OpRegen® 3 Year Results in Patients With GA Presented at Foundation Fighting Blindness Retinal Innovation Summit 2026	Business Wire	236.33	0.422	0.0372	0.5408	0.3848	positive		NO:Trades/sec	NYSE American	1.54	0.0					0.2642	0.3699	0.1794	0.6141	0.6108	0.4378
BLNK	"[""BLNK""]"	nGNX4WkYWj	2026-05-04 08:00:00	Blink Charging to Host First Quarter Conference Call on Monday, May 11, 2026	Globe Newswire	139.6	0.0684	0.0227	0.9089	0.0457	neutral		NO:sentiment_score,Trades/sec	NASDAQ	0.78	5.41					0.0485	-0.0228	0.0399	0.0485	0.0801	-0.0443
BLND	"[""BLND""]"	nBw41gbSKa	2026-05-04 08:00:02	Blend Launches Autopilot MCP Server, Opening Its Lending Platform to FI-Built AI Agents	Business Wire	177.38	0.2357	0.015	0.7493	0.2207	positive		NO:Trades/sec	NYSE	1.61	7.33					0.2661	0.2698	0.2661	0.2661	0.2353	0.2698
LOBO	"[""LOBO""]"	nGNX7yV1fw	2026-05-04 08:00:01	LOBO Claw AI Agent Completes New Round of Upgrades with DeepSeek V4 Model Integration	Globe Newswire	11.23	0.7491	0.0087	0.2422	0.7403	positive		NO:Trades/sec	NASDAQ	0.67	6.35					0.5227	0.4376	0.2888	0.2888	0.5176	0.5227
NNOX	"[""NNOX""]"	nGNXblK3v6	2026-05-04 08:00:01	Nanox Announces Distribution Agreement with NuvioDx to Support Deployment of Nanox.ARC Systems	Globe Newswire	69.02	0.3363	0.0091	0.6547	0.3272	positive		NO:Trades/sec	NASDAQ	1.89	9.88					0.4025	0.5147	0.2841	0.823	0.422	0.5642
OTH	"[""OTH""]"	nGNX2HG1fn	2026-05-04 08:00:02	Off The Hook Yachts to Announce 2026 First Quarter Financial and Operating Results on Thursday, May 14, 2026	Globe Newswire	3.45	0.1696	0.0492	0.7812	0.1203	positive		NO:sentiment_score,Trades/sec	NYSE American	2.98	9.96					0.1804	0.0642	0.0366	0.0854	0.0699	0.1804
GENI	"[""GENI""]"	nBw6bbtgsa	2026-05-04 08:00:02	Genius Sports and Liga MX Strike Landmark Technology and AI Partnership to Drive Future of Mexican Soccer	Business Wire	221.15	0.6953	0.0117	0.293	0.6836	positive		NO:Trades/sec	NYSE	4.55	3.88					0.4445	0.5592	0.3921	0.7834	0.4609	0.5773
NKLR	"[""NKLR""]"	nGNX9C6Cr0	2026-05-04 08:00:02	Terra Innovatum Expands U.S. Presence with Pittsburgh, Pa. Headquarters and Leadership Appointments to Advance SOLO™ Licensing Readiness and FOAK Deployment	Globe Newswire	21.74	0.4524	0.0111	0.5365	0.4413	positive		NO:Trades/sec	NASDAQ	6.41	3.55					0.572	0.5998	0.572	0.572	0.5241	0.5998
